THRESHOLD,GMACS_BACKBONE,PARAMETERS_BACKBONE,GMACS_GEO_HEAD,PARAMETERS_GEO_HEAD,GMACS_PNP_HEAD,PARAMETERS_PNP_HEAD
0,161.21856,87.564416,61.043376128,6.045744,1.10341332,9.029513
1,161.21856,87.564416,57.600442368,5.749696,1.011891848,8.392793
2,161.21856,87.564416,54.25659904,5.46056,0.923386056,7.766697
3,161.21856,87.564416,51.011846144,5.178336,0.837895944,7.151225
4,161.21856,87.564416,47.86618368,4.903024,0.755421512,6.546377
5,161.21856,87.564416,44.819611648,4.634624,0.67596276,5.952153
6,161.21856,87.564416,41.872130048,4.373136,0.599519688,5.368553
7,161.21856,87.564416,39.02373888,4.11856,0.526092296,4.795577
8,161.21856,87.564416,36.274438144,3.870896,0.455680584,4.233225
9,161.21856,87.564416,33.62422784,3.630144,0.388284552,3.681497
10,161.21856,87.564416,31.073107968,3.396304,0.3239042,3.140393
11,161.21856,87.564416,28.621078528,3.169376,0.262539528,2.609913
12,161.21856,87.564416,26.26813952,2.94936,0.204190536,2.090057
13,161.21856,87.564416,24.014290944,2.736256,0.148857224,1.580825
14,161.21856,87.564416,21.8595328,2.530064,0.096539592,1.082217
15,161.21856,87.564416,19.803865088,2.330784,0.04723764,0.594233

